"sample.label","Chi.lae","Oph.alb","Euc.ana","Nem.ind","Oph.sp.","Spi.arm","Pyg.cf.","Tra.for","Cha.set","Mal.ind","Pol.ind","Pho.ass","Pol.ind.1","Nem.ind.1","Cap.cap","Cre.dec","Ast.sul","Mon.spi","Lio.flu","Mac.sp.","Ske.sp.","Ret.obt","Ono.mig","Cyl.sp.","Mya.tru","Axi.orb","Mya.are","Cra.cra","Amp.ind","Pri.her","Cop.ind","Mon.pac","Orc.min","Lam.fus","Ost.ind","Pri.cau","Mar.wir","Ser.gro","Pla.ind","Biv.ind","Oph.rat","Dip.qua","Pol.ind.2","Biv.ind.1","Scl.bor"
"1C",1,1,3,4,2,3,7,0,0,0,0,0,0,1,20,0,0,0,1,1,0,0,0,0,0,0,0,39,10,0,2,1,0,24,1,0,0,0,2,0,0,0,0,0,0
"1c",1,1,3,1,0,0,3,0,1,0,0,0,0,2,0,6,0,1,1,0,0,0,0,0,0,0,0,44,1,0,4,0,0,9,5,0,0,0,0,0,0,0,0,0,0
"2C",1,1,2,1,0,1,1,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,34,5,1,3,0,0,27,3,1,0,0,0,0,0,0,0,0,0
"2c",2,0,8,1,1,4,0,0,1,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,10,1,3,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1
"3C",0,1,10,2,0,6,15,0,0,0,0,0,0,0,0,13,2,1,0,0,1,0,0,0,0,0,1,46,11,2,3,0,0,18,1,2,0,0,0,0,0,0,0,0,0
"3c",0,1,3,3,1,3,13,0,0,2,0,0,0,0,0,7,1,1,0,0,0,0,0,0,1,0,0,71,1,1,1,0,0,31,6,0,0,0,0,0,0,0,0,0,0
"4C",1,2,6,5,0,4,11,0,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,2,2,0,61,4,3,6,1,0,12,1,0,0,0,0,0,0,0,0,0,0
"4c",2,0,15,3,1,6,40,0,0,3,1,1,2,7,0,16,0,0,0,0,0,0,0,2,0,0,0,47,7,0,4,0,0,0,5,0,1,0,1,2,0,0,0,0,0
"5C",0,0,14,1,0,1,18,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,22,2,0,1,0,1,71,0,0,0,0,0,1,0,0,0,0,0
"5c",0,2,9,1,0,12,8,0,0,0,1,0,0,3,0,7,1,0,0,0,2,0,0,0,0,0,0,20,13,2,3,0,0,27,7,0,1,2,0,0,0,1,1,1,0
"1S",1,0,25,0,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,1,3,0,0,7,11,0,0,0,0,0,0,0,0,0,0
"1s",0,0,1,3,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0
"2S",2,0,4,1,0,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,17,1,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0
"2s",0,1,14,3,1,7,21,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,16,0,0,2,0,0,5,2,0,0,0,0,0,0,1,0,0,0
"3S",1,0,15,1,0,9,30,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0
"3s",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0
"4S",0,1,8,0,0,4,14,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"4s",1,0,15,1,0,4,44,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,22,2,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0
"5S",1,0,5,0,0,1,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,19,1,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0
"5s",0,0,7,1,0,8,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,1,1,5,0,0,0,0,2,0,0,0,0,0
"1F",0,0,7,3,2,3,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,24,1,1,2,0,0,2,7,0,0,0,0,1,0,0,0,0,0
"1f",0,1,2,4,0,0,1,0,0,0,0,1,0,1,0,11,0,0,0,0,0,0,0,2,0,0,0,30,1,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0
"2F",1,2,1,1,1,12,15,1,0,1,0,0,0,0,1,5,2,1,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0,44,1,0,0,0,0,0,0,0,0,0,0
"2f",0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,38,0,0,1,0,0,69,4,0,0,0,0,0,1,0,0,0,0
"3F",0,1,1,3,0,7,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,24,2,0,2,0,0,35,3,0,0,0,0,0,0,1,1,0,0
"3f",0,1,1,2,0,0,29,1,0,1,0,1,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,38,0,0,2,0,0,27,4,0,0,0,0,0,0,0,0,0,0
"4F",2,2,3,4,2,1,1,0,0,0,0,0,0,0,1,9,0,3,0,0,1,0,0,0,0,1,0,24,3,2,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0
"4f",0,2,4,5,0,2,7,0,0,1,0,0,0,2,0,3,1,0,0,0,0,1,0,0,0,0,0,26,0,0,1,0,0,10,3,0,0,0,0,0,0,0,0,0,0
"5F",1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,22,3,0,1,1,0,58,4,0,0,0,0,0,0,0,0,0,0
"5f",0,2,9,0,0,0,4,0,0,0,1,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,27,3,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0
